Tier,Nama Hero,Role,Lane
B,Obsidia,Marksman,Gold Lane
B,Estes,Support,Roam
B,Gusion,Assassin,"Jungle, Mid Lane"
B,X.Borg,Fighter,Exp Lane
B,Franco,Tank,Roam
B,Yu Zhong,Fighter,Exp Lane
B,Granger,Marksman,Gold Lane
B,Arlott,"Fighter, Assassin",Exp Lane
B,Sun,Fighter,"Exp Lane, Jungle"
B,Minotaur,"Tank, Support",Roam
B,Alucard,"Fighter, Assassin",Jungle
B,Belerick,Tank,Roam
B,Natan,Marksman,Gold Lane
B,Thamuz,Fighter,Exp Lane
B,Rafaela,Support,Roam
B,Fanny,Assassin,Jungle
B,Kadita,"Mage, Assassin",Mid Lane
