Tier,Nama Hero,Role,Lane
C,Harley,"Assassin, Mage",Jungle
C,Joy,Assassin,Jungle
C,Julian,"Assassin, Fighter",Jungle
C,Guinevere,Fighter,Exp Lane
C,Zetian,Mage,Mid Lane
C,Phoveus,Fighter,Exp Lane
C,Lesley,"Marksman, Assassin",Gold Lane
C,Kimmy,"Marksman, Mage","Gold Lane, Mid Lane"
C,Irithel,Marksman,Gold Lane
C,Kalea,"Support, Fighter",Roam
C,Badang,Fighter,"Exp Lane, Roam"
C,Ruby,Fighter,Exp Lane
C,Hanzo,Assassin,Jungle
C,Freya,Fighter,"Exp Lane, Jungle"
C,Gatotkaca,"Tank, Fighter","Roam, Exp Lane"
C,Zhuxin,Mage,Mid Lane
C,Cyclops,Mage,Mid Lane
C,Vexana,Mage,Mid Lane
C,Silvanna,Fighter,Exp Lane
C,Hanabi,Marksman,Gold Lane
C,Minsitthar,Fighter,"Exp Lane, Roam"
C,Lolita,"Support, Tank",Roam
C,Natalia,Assassin,"Jungle, Roam"
C,Yve,Mage,Mid Lane
C,Bane,"Fighter, Mage","Jungle, Exp Lane"
C,Wanwan,Marksman,Gold Lane
C,Eudora,Mage,Mid Lane
C,Masha,"Fighter, Tank",Exp Lane
C,Yin,"Fighter, Assassin","Jungle, Exp Lane"
