Match_Order,Game_Number,Team_Left,Team_Right,Winner_Match,Left_Bans,Left_Picks,Right_Bans,Right_Picks
1,1,ONIC,Dewa United Esports,ONIC,"Wanwan 2025, Yi Sun-Shin, Fanny, Selena, Uranus","Cici, Joy, Pharsa, Claude 2024, Hylos","Zhuxin, Kalea, Phoveus 2024, Bruno 2023, Granger 2024","Esmeralda, Lancelot 2021, Helcurt 2024, Harith, Gatotkaca"
1,2,ONIC,Dewa United Esports,ONIC,"Phoveus 2024, Fanny, Arlott, Uranus, Hilda","Cici, Lancelot 2021, Pharsa, Granger 2024, Gatotkaca","Yi Sun-Shin, Wanwan 2025, Zhuxin, Harith, Moskov 2023","Esmeralda, Joy, Kagura 2021, Kalea, Beatrix"
2,1,Natus Vincere,EVOS,EVOS,"Wanwan 2025, Lancelot 2021, Yi Sun-Shin, Selena, Kadita","Uranus, Fanny, Pharsa, Moskov 2023, Gatotkaca","Zhuxin, Phoveus 2024, Kalea, Chou, Gloo 2025","Cici, Baxia, Valentina, Granger 2024, Franco"
2,2,Natus Vincere,EVOS,EVOS,"Wanwan 2025, Lancelot 2021, Yi Sun-Shin, Selena, Fanny","Paquito, Baxia, Pharsa, Granger 2024, Badang","Zhuxin, Phoveus 2024, Kalea, Uranus, Franco","Cici, Fredrinn, Lylia, Harith, Gatotkaca"
3,1,Team Liquid ID,Geek Fam ID,Geek Fam ID,"Lancelot 2021, Kalea, Cici, Joy, Badang","Phoveus 2024, Fanny, Kimmy 2025, Claude 2024, Baxia","Yi Sun-Shin, Wanwan 2025, Zhuxin, Lapu-Lapu, Hilda","Gloo 2025, Hayabusa 2021, Pharsa, Moskov 2023, Chou"
3,2,Team Liquid ID,Geek Fam ID,Geek Fam ID,"Lancelot 2021, Kalea, Wanwan 2025, Moskov 2023, Chou","Ruby, Fanny, Kimmy 2025, Claude 2024, Baxia","Zhuxin, Pharsa, Phoveus 2024, Uranus, Hilda","Cici, Yi Sun-Shin, Valentina, Granger 2024, Hylos"
3,3,Team Liquid ID,Geek Fam ID,Geek Fam ID,"Lancelot 2021, Kalea, Moskov 2023, Joy, Ling 2024","Arlott, Hayabusa 2021, Zhuxin, Harith, Baxia","Yi Sun-Shin, Wanwan 2025, Fanny, Claude 2024, Lapu-Lapu","Gloo 2025, Suyou, Pharsa, Granger 2024, Gatotkaca"
4,1,ONIC,Bigetron by Vitality,ONIC,"Wanwan 2025, Yi Sun-Shin, Selena, Fanny, Moskov 2023","Phoveus 2024, Lancelot 2021, Yve 2024, Granger 2024, Gatotkaca","Cici, Joy, Arlott, Chou, Harith","Hylos, Baxia, Kimmy 2025, Bruno 2023, Mathilda"
4,2,ONIC,Bigetron by Vitality,ONIC,"Wanwan 2025, Yi Sun-Shin, Selena, Fanny, Beatrix","Phoveus 2024, Lancelot 2021, Pharsa, Bruno 2023, Gatotkaca","Cici, Joy, Arlott, Harith, Valentina","Benedetta, Baxia, Zhuxin, Granger 2024, Kalea"
5,1,RRQ Hoshi,Alter Ego,RRQ Hoshi,"Cici, Gatotkaca, Yi Sun-Shin, Bruno 2023, Chou","Arlott, Lancelot 2021, Pharsa, Moskov 2023, Kaja","Baxia, Kalea, Wanwan 2025, Yve 2024, Badang","Uranus, Fanny, Zhuxin, Harith, Khaleed"
5,2,RRQ Hoshi,Alter Ego,RRQ Hoshi,"Cici, Yi Sun-Shin, Fanny, Hylos, Khaleed","Esmeralda, Hayabusa 2021, Pharsa, Harith, Kalea","Uranus, Wanwan 2025, Gatotkaca, Yve 2024, Valentina","Lapu-Lapu, Lancelot 2021, Zhuxin, Claude 2024, Hilda"
5,3,RRQ Hoshi,Alter Ego,RRQ Hoshi,"Cici, Fanny, Yi Sun-Shin, Beatrix, Moskov 2023","Chou, Hayabusa 2021, Kimmy 2025, Claude 2024, Gatotkaca","Wanwan 2025, Baxia, Uranus, Phoveus 2024, Harith","Ruby, Lancelot 2021, Zhuxin, Granger 2024, Kalea"
6,1,Bigetron by Vitality,Natus Vincere,Natus Vincere,"Yi Sun-Shin, Cici, Pharsa, Angela 2024 v2, Franco","Gatotkaca, Joy, Valentina, Granger 2024, Kalea","Fanny, Zhuxin, Lancelot 2021, Gloo 2025, Beatrix","Phoveus 2024, Baxia, Kimmy 2025, Wanwan 2025, Badang"
