Match_Order,Game_Number,Team_Left,Team_Right,Winner_Match,Left_Bans,Left_Picks,Right_Bans,Right_Picks
1,1,Omega Esports,TNC Pro Team,Omega Esports,"Baxia, Cici, Zhuxin, Fredrinn, Akai 2022","Lapu-Lapu, Fanny, Pharsa, Karrie, Kalea","Wanwan 2025, Yi Sun-Shin, Lancelot 2021, Chou, Harith","Arlott, Joy, Selena, Granger 2024, Gatotkaca"
1,2,Omega Esports,TNC Pro Team,Omega Esports,"Wanwan 2025, Yi Sun-Shin, Lancelot 2021, Khufra, Franco","Hilda, Fanny, Pharsa, Harith, Gatotkaca","Kalea, Zhuxin, Uranus, Chou, Badang","Lapu-Lapu, Hayabusa 2021, Kimmy 2025, Moskov 2023, Baxia"
1,3,Omega Esports,TNC Pro Team,Omega Esports,"Baxia, Zhuxin, Lapu-Lapu, Gatotkaca, Hylos","Phoveus 2024, Hayabusa 2021, Pharsa, Harith, Khufra","Wanwan 2025, Yi Sun-Shin, Lancelot 2021, Kalea, Chou","Gloo 2025, Fredrinn, Selena, Moskov 2023, Badang"
2,1,Aurora Gaming PH,Team Falcons PH,Team Falcons PH,"Arlott, Kalea, Lancelot 2021, Faramis 2022, Kimmy 2025","Lapu-Lapu, Yi Sun-Shin, Selena, Ruby, Hylos","Zhuxin, Wanwan 2025, Baxia, Chou, Badang","Cici, Joy, Kagura 2021, Moskov 2023, Gatotkaca"
2,2,Aurora Gaming PH,Team Falcons PH,Team Falcons PH,"Wanwan 2025, Yi Sun-Shin, Lancelot 2021, Faramis 2022, Valentina","Uranus, Fanny, Selena, Moskov 2023, Kalea","Baxia, Arlott, Zhuxin, Harith, Lapu-Lapu","Cici, Joy, Pharsa, Bruno 2023, Gatotkaca"
3,1,AP.Bren,Omega Esports,AP.Bren,"Phoveus 2024, Zhuxin, Baxia, Karrie, Fredrinn","Arlott, Akai 2022, Valentina, Moskov 2023, Gatotkaca","Wanwan 2025, Yi Sun-Shin, Lancelot 2021, Kimmy 2025, Wu Zetian","Lapu-Lapu, X.Borg 2023, Pharsa, Beatrix, Kalea"
3,2,AP.Bren,Omega Esports,AP.Bren,"Wanwan 2025, Yi Sun-Shin, Baxia, Selena, Hylos","Benedetta, Uranus, Pharsa, Claude 2024, Chou","Arlott, Zhuxin, Phoveus 2024, Hayabusa 2021, Fanny","Lapu-Lapu, Lancelot 2021, Kimmy 2025, Harith, Badang"
3,3,AP.Bren,Omega Esports,AP.Bren,"Phoveus 2024, Zhuxin, Baxia, Moskov 2023, Bruno 2023","Esmeralda, Lancelot 2021, Selena, Harith, Khufra","Wanwan 2025, Yi Sun-Shin, Arlott, Kalea, Gatotkaca","Gloo 2025, Hayabusa 2021, Pharsa, Granger 2024, Chou"
4,1,Team Falcons PH,Twisted Minds PH,Twisted Minds PH,"Arlott, Baxia, Pharsa, Beatrix, Uranus","Phoveus 2024, Yi Sun-Shin, Zhuxin, Harith, Gatotkaca","Wanwan 2025, Cici, Ruby, Moskov 2023, Lapu-Lapu","Gloo 2025, Lancelot 2021, Kimmy 2025, Granger 2024, Kalea"
4,2,Team Falcons PH,Twisted Minds PH,Twisted Minds PH,"Baxia, Kalea, Zhuxin, Valentina, Kimmy 2025","Lapu-Lapu, Lancelot 2021, Kagura 2021, Karrie, Hylos","Wanwan 2025, Cici, Ruby, Harith, Bruno 2023","Uranus, Yi Sun-Shin, Selena, Moskov 2023, Arlott"
5,1,ONIC Philippines,Team Liquid PH,ONIC Philippines,"Arlott, Baxia, Kalea, Hilda, Gatotkaca","Badang, Lancelot 2021, Pharsa, Bruno 2023, Hylos","Fanny, Wanwan 2025, Yi Sun-Shin, Harith, Phoveus 2024","Cici, Joy, Zhuxin, Moskov 2023, Jawhead"
5,2,ONIC Philippines,Team Liquid PH,ONIC Philippines,"Arlott, Baxia, Pharsa, Gloo 2025, Cici","Phoveus 2024, Lancelot 2021, Selena, Claude 2024, Hylos","Fanny, Zhuxin, Wanwan 2025, Granger 2024, Bruno 2023","Lapu-Lapu, Yi Sun-Shin, Valentina, Harith, Gatotkaca"
6,1,AP.Bren,Twisted Minds PH,Twisted Minds PH,"Uranus, Zhuxin, Yi Sun-Shin, Granger 2024, Gloo 2025","Esmeralda, Fanny, Selena, Moskov 2023, Baxia","Wanwan 2025, Arlott, Lancelot 2021, Joy, Lapu-Lapu","Cici, Hayabusa 2021, Kagura 2021, Harith, Gatotkaca"
6,2,AP.Bren,Twisted Minds PH,Twisted Minds PH,"Wanwan 2025, Uranus, Lancelot 2021, Moskov 2023, Gloo 2025","Phoveus 2024, Hayabusa 2021, Pharsa, Harith, Kalea","Fanny, Arlott, Baxia, Lapu-Lapu, Yi Sun-Shin","Cici, Roger, Zhuxin, Granger 2024, Gatotkaca"
6,3,AP.Bren,Twisted Minds PH,Twisted Minds PH,"Uranus, Zhuxin, Selena, Gloo 2025, Moskov 2023","Phoveus 2024, Lukas, Pharsa, Harith, Gatotkaca","Wanwan 2025, Arlott, Lancelot 2021, Hayabusa 2021, Fanny","Hylos, Yi Sun-Shin, Kagura 2021, Granger 2024, Kalea"
7,1,TNC Pro Team,Team Liquid PH,Team Liquid PH,"Arlott, Zhuxin, Selena, Harith, Bruno 2023","Phoveus 2024, Lancelot 2021, Valentina, Granger 2024, Gatotkaca","Wanwan 2025, Baxia, Cici, Kimmy 2025, Gloo 2025","Lapu-Lapu, Yi Sun-Shin, Pharsa, Moskov 2023, Hylos"
7,2,TNC Pro Team,Team Liquid PH,Team Liquid PH,"Arlott, Zhuxin, Selena, Gloo 2025, Phoveus 2024","Lapu-Lapu, Lancelot 2021, Luo Yi, Karrie, Gatotkaca","Wanwan 2025, Baxia, Cici, Kimmy 2025, Granger 2024","Ruby, Yi Sun-Shin, Pharsa, Harith, Hylos"
8,1,AP.Bren,ONIC Philippines,ONIC Philippines,"Fanny, Selena, Cici, Pharsa, Beatrix","Uranus, Lancelot 2021, Zhuxin, Harith, Hylos","Wanwan 2025, Baxia, Arlott, Esmeralda, Lapu-Lapu","Phoveus 2024, Yi Sun-Shin, Kagura 2021, Lunox, Kalea"
8,2,AP.Bren,ONIC Philippines,ONIC Philippines,"Fanny, Selena, Kalea, Pharsa, Vexana 2022","Cici, Joy, Kagura 2021, Bruno 2023, Gatotkaca","Wanwan 2025, Baxia, Zhuxin, Hayabusa 2021, Hilda","Arlott, Lancelot 2021, Luo Yi, Harith, Hylos"
