Hero ID,Nama Hero,Win Rate,Pick Rate,Ban Rate,Speciality,Rank Filter,Timeframe,Data Date,Image URL
109,Aamon,53.34%,1.04%,50.16%,"Chase, Magic Damage",ALL,Past 1 day,2025-12-18T13:00:26.000Z,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_b3a7602fe7ffd1e54bf8ea79ceadfa72.png
9,Akai,49.35%,0.43%,1.62%,"Guard, Crowd Control",ALL,Past 1 day,2025-12-18T13:00:26.000Z,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_28f223447f0174336ff0922d364d81d3.png
64,Aldous,48.65%,0.4%,0.56%,"Burst, Support",ALL,Past 1 day,2025-12-18T13:00:26.000Z,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_0eb32187d08f14779585a8be53b83f01.png
4,Alice,51.42%,0.82%,36.09%,"Charge, Regen",ALL,Past 1 day,2025-12-18T13:00:26.000Z,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage_2_1_18/100_18300163a5a912a84adb52b8d59b4618.png
28,Alpha,50.61%,1.8%,2.37%,"Charge, Damage",ALL,Past 1 day,2025-12-18T13:00:26.000Z,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_86c9f91f530727db6498f920d19180d1.png
7,Alucard,51.48%,1.12%,5.98%,"Chase, Damage",ALL,Past 1 day,2025-12-18T13:00:26.000Z,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_0f51b6906e08897aa02330d65b0deeac.png
55,Angela,51.9%,1.68%,39.82%,"Guard, Support",ALL,Past 1 day,2025-12-18T13:00:26.000Z,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_c7e0183956b2c2fd6d3fa0b18fe46917.png
45,Argus,53.67%,0.42%,2.49%,"Charge, Burst",ALL,Past 1 day,2025-12-18T13:00:26.000Z,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_0bd96658e5b8ec578226ea1622bd7231.png
120,Arlott,46.84%,0.7%,4.51%,"Charge, Burst",ALL,Past 1 day,2025-12-18T13:00:26.000Z,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_f666faa5ec6be5353f10dcd1d8997a42.png
93,Atlas,51.36%,0.36%,4.01%,"Crowd Control, Initiator",ALL,Past 1 day,2025-12-18T13:00:26.000Z,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_d974ac796678180ff8724b88e192898b.png
108,Aulus,53.6%,0.18%,0.27%,"Damage, Crowd Control",ALL,Past 1 day,2025-12-18T13:00:26.000Z,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_40839957990dbb59a9e5ec4da9f85a8e.png
36,Aurora,48.26%,0.36%,0.22%,"Crowd Control, Poke",ALL,Past 1 day,2025-12-18T13:00:26.000Z,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_f9b2be0150361018bb98f941b9667c42.png
77,Badang,50.29%,0.99%,1.46%,"Charge, Burst",ALL,Past 1 day,2025-12-18T13:00:26.000Z,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_9fb1784545a48aef42241fc7a719c575.png
2,Balmond,44.26%,0.47%,0.47%,"Damage, Regen",ALL,Past 1 day,2025-12-18T13:00:26.000Z,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage_2_1_18_2/100_df9a6990b1946d045e4d3a46c90725cf.png
11,Bane,51.67%,0.52%,1.36%,"Push, Burst",ALL,Past 1 day,2025-12-18T13:00:26.000Z,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_7e4e74bb161da0f477cc0d1819fa39e6.png
99,Barats,49.82%,0.09%,0.12%,"Damage, Crowd Control",ALL,Past 1 day,2025-12-18T13:00:26.000Z,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_6495be044c2d28106e200f6918391d54.png
87,Baxia,49.59%,0.19%,0.33%,"Support, Damage",ALL,Past 1 day,2025-12-18T13:00:26.000Z,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_80e408203869ca99302af195ac4f756c.png
